Age,M,F
0-4,1462011,1379928
5-9,1396813,1321904
10-14,1424047,1345443
15-19,1485173,1404025
20-24,1578281,1510318
25-29,1794508,1752036
30-34,2175688,2151725
35-39,2395100,2396014
40-44,2383960,2405715
45-49,2134007,2172662
50-54,1857247,1923147
55-59,1854151,1943973
60-64,1624213,1740522
65-69,1504270,1690339
70-74,1340488,1621935
75-79,994064,1392061
80-84,666181,1143223
85-89,293113,599009
90-94,98443,263648
95-99,27152,92286
100+,1521,7518
