Age,M,F
0-4,1419399,1338702
5-9,1460236,1378193
10-14,1441856,1349357
15-19,1475070,1375278
20-24,1560637,1483507
25-29,1655269,1616707
30-34,1844494,1836841
35-39,2180531,2196011
40-44,2429491,2467882
45-49,2402995,2470199
50-54,2180905,2275563
55-59,1857411,1976389
60-64,1769413,1908325
65-69,1614892,1783447
70-74,1343333,1581838
75-79,1182799,1530153
80-84,755480,1181719
85-89,402284,813075
90-94,142381,360215
95-99,26127,82700
100+,2736,12988
