Age,M,F
0-4,347274870,325608508
5-9,335907008,314020123
10-14,320893651,299264931
15-19,311446407,291389728
20-24,306858944,288765303
25-29,312654342,298416363
30-34,286253967,276399729
35-39,256329164,249730864
40-44,246989518,242002470
45-49,232492309,230583284
50-54,205704927,205984076
55-59,172343144,176078857
60-64,146766065,154155138
65-69,107770891,118573022
70-74,73142161,84884191
75-79,50905657,65061048
80-84,30015341,43190303
85-89,13994524,24101505
90-94,4501298,9939947
95-99,821698,2363612
100+,91333,351710
