Age,M,F
0-4,323177229,302158570
5-9,311253971,291449221
10-14,320863780,302958988
15-19,303690350,289298307
20-24,270267219,259708492
25-29,257383832,248890557
30-34,247916888,241382748
35-39,226084004,220743182
40-44,196941361,193015418
45-49,175482275,173468349
50-54,144522591,145489042
55-59,109681823,112554898
60-64,92049453,97351780
65-69,75581559,83784085
70-74,55425990,66564606
75-79,35295537,48572822
80-84,17927803,28538785
85-89,7541478,14523758
90-94,2362383,5919999
95-99,419646,1360501
100+,31276,138615
