Age,M,F
0-4,1346636,1273690
5-9,1386187,1315897
10-14,1437130,1361232
15-19,1561696,1486158
20-24,1806715,1749931
25-29,2159273,2130087
30-34,2294303,2275555
35-39,2259821,2251660
40-44,1974649,1997664
45-49,1838441,1877341
50-54,1898039,1948467
55-59,1583585,1664286
60-64,1651275,1796488
65-69,1421260,1655888
70-74,1183966,1549236
75-79,881893,1360037
80-84,391530,702206
85-89,268947,591992
90-94,77522,222617
95-99,10917,43106
100+,829,4026
