Age,M,F
0-4,1358939,1279715
5-9,1462137,1378703
10-14,1462497,1366573
15-19,1474708,1357674
20-24,1559581,1464561
25-29,1647132,1604093
30-34,1785670,1769192
35-39,2070978,2074203
40-44,2397915,2424672
45-49,2435804,2494648
50-54,2309535,2403901
55-59,1956874,2081574
60-64,1761820,1899228
65-69,1713441,1881494
70-74,1347549,1567900
75-79,1230854,1564681
80-84,813306,1229611
85-89,427313,845520
90-94,152119,404355
95-99,22907,77892
100+,3044,14175
