Age,M,F
0-4,1383460,1306740
5-9,1383376,1311473
10-14,1428353,1352248
15-19,1501477,1421620
20-24,1680268,1609337
25-29,2018603,1968605
30-34,2314830,2288056
35-39,2359593,2352347
40-44,2192498,2201673
45-49,1905334,1939400
50-54,1862131,1917014
55-59,1759083,1836210
60-64,1550861,1680030
65-69,1519091,1731202
70-74,1220869,1541960
75-79,940283,1393519
80-84,547787,956083
85-89,217449,471230
90-94,112859,293103
95-99,19971,68288
100+,1046,5229
