Age,M,F
0-4,1460439,1377997
5-9,1424348,1347260
10-14,1410721,1331512
15-19,1479594,1391819
20-24,1558253,1484788
25-29,1694262,1664458
30-34,1965971,1972686
35-39,2339881,2360207
40-44,2406841,2450734
45-49,2305398,2362965
50-54,1973075,2055995
55-59,1776998,1888395
60-64,1795711,1926653
65-69,1440072,1604568
70-74,1421899,1682798
75-79,1073583,1438916
80-84,695150,1157712
85-89,364130,778457
90-94,91846,243732
95-99,24335,89201
100+,2029,9842
