Age,M,F
0-4,1457491,1375611
5-9,1437122,1358494
10-14,1417875,1334289
15-19,1478368,1389887
20-24,1556397,1484662
25-29,1673916,1640780
30-34,1917221,1920654
35-39,2294694,2315746
40-44,2414580,2459924
45-49,2347299,2411241
50-54,2032868,2121368
55-59,1789095,1903484
60-64,1802739,1938900
65-69,1473232,1638566
70-74,1405545,1661335
75-79,1102924,1459796
80-84,713544,1161762
85-89,381423,797860
90-94,110937,283865
95-99,24310,86183
100+,2249,10834
