Age,M,F
0-4,1390349,1310361
5-9,1465417,1382069
10-14,1453659,1358749
15-19,1474262,1365716
20-24,1561752,1476756
25-29,1651466,1611038
30-34,1813995,1801127
35-39,2123272,2132887
40-44,2422143,2454827
45-49,2421225,2485248
50-54,2251927,2347050
55-59,1904571,2026364
60-64,1757533,1895488
65-69,1677779,1846899
70-74,1331234,1559995
75-79,1214553,1556256
80-84,781810,1201335
85-89,413320,825137
90-94,150070,386591
95-99,26081,82603
100+,2929,13779
