Age,M,F
0-4,1428514,1350304
5-9,1384783,1313122
10-14,1427578,1352338
15-19,1483733,1403266
20-24,1611515,1534783
25-29,1900960,1842552
30-34,2289155,2248951
35-39,2397467,2389586
40-44,2329582,2338121
45-49,2018862,2044991
50-54,1838305,1893360
55-59,1865556,1943674
60-64,1536737,1655468
65-69,1553790,1755341
70-74,1274136,1571593
75-79,972245,1397274
80-84,634778,1111882
85-89,226226,477991
90-94,103359,289667
95-99,17195,64934
100+,1259,6276
