Age,M,F
0-4,323279012,301643559
5-9,312991711,292813029
10-14,314962781,296234775
15-19,316026286,300408137
20-24,280355218,269060520
25-29,258179770,249671811
30-34,252293519,245105034
35-39,234860982,229724799
40-44,207419656,203195016
45-49,179962662,178063363
50-54,157549336,158108841
55-59,119390478,122847272
60-64,93301349,98309283
65-69,79035294,87552395
70-74,57677662,68636520
75-79,37743151,50877827
80-84,19482757,31259966
85-89,7727032,14530218
90-94,2504499,6163897
95-99,482965,1532924
100+,36505,157576
