Age,M,F
0-4,1466274,1384609
5-9,1405232,1330019
10-14,1417344,1338888
15-19,1484219,1402092
20-24,1568497,1501996
25-29,1752759,1717504
30-34,2100730,2088679
35-39,2387180,2394482
40-44,2392440,2423145
45-49,2196762,2243097
50-54,1885262,1957685
55-59,1817909,1916052
60-64,1697434,1817887
65-69,1460722,1638885
70-74,1379540,1656116
75-79,1011483,1398095
80-84,672356,1142190
85-89,324681,670835
90-94,92741,243160
95-99,30971,102282
100+,1669,8213
