Age,M,F
0-4,340210996,317961457
5-9,322758065,300817187
10-14,313316925,292802450
15-19,309147224,290334806
20-24,315203090,300014447
25-29,289174033,278260583
30-34,259840175,251798695
35-39,251207226,244451239
40-44,237703260,233664406
45-49,212416031,210032005
50-54,180891490,181318336
55-59,157948831,161313577
60-64,120590162,127517941
65-69,86944126,95270584
70-74,66942157,78584127
75-79,45136441,58219863
80-84,25872788,38582642
85-89,11139603,20399142
90-94,3220928,7391542
95-99,607585,1872423
100+,61455,254123
