Age,M,F
0-4,1449458,1368198
5-9,1390277,1316303
10-14,1428130,1350505
15-19,1484961,1404315
20-24,1592327,1520544
25-29,1844501,1793866
30-34,2240900,2206929
35-39,2397880,2393559
40-44,2364581,2378543
45-49,2073199,2104721
50-54,1841702,1901622
55-59,1874263,1956900
60-64,1565602,1681163
65-69,1540272,1734148
70-74,1302882,1590651
75-79,982127,1392474
80-84,655654,1136794
85-89,257802,529465
90-94,104222,285047
95-99,21278,76590
100+,1385,6878
