Age,M,F
0-4,326869096,304646113
5-9,314773346,294196353
10-14,311385435,292038792
15-19,319743909,303066516
20-24,292685287,280380964
25-29,262865767,253971151
30-34,254330840,246748022
35-39,241829383,236489328
40-44,217423762,213191037
45-49,187160831,185127626
50-54,166275083,166714436
55-59,130692326,134386049
60-64,97941683,103115732
65-69,80784360,89294261
70-74,60459304,71459312
75-79,39939257,52944743
80-84,21342653,33624559
85-89,8511070,15912142
90-94,2613372,6373469
95-99,463860,1524319
100+,42304,180063
