Age,M,F
0-4,323197502,301860013
5-9,311804980,291798737
10-14,317983260,299657163
15-19,310563476,295584391
20-24,275003687,264102759
25-29,257458766,248971964
30-34,250384908,243521548
35-39,230641092,225444267
40-44,202108120,198030773
45-49,177563378,175648910
50-54,151382583,152122320
55-59,114194249,117398066
60-64,92295961,97436755
65-69,77419944,85793606
70-74,56449419,67462585
75-79,36573056,49724222
80-84,18730865,29941566
85-89,7645759,14449198
90-94,2506685,6151460
95-99,480545,1515155
100+,33795,147651
