Age,M,F
0-4,1258331,1184163
5-9,1424572,1344238
10-14,1477935,1391810
15-19,1483479,1380232
20-24,1541763,1431709
25-29,1634850,1562804
30-34,1722670,1694427
35-39,1905668,1897734
40-44,2228038,2241297
45-49,2447566,2490025
50-54,2399675,2479622
55-59,2155979,2275212
60-64,1816334,1963309
65-69,1695727,1868231
70-74,1498978,1714184
75-79,1171519,1467909
80-84,913738,1306471
85-89,470228,856899
90-94,184849,447103
95-99,44143,137712
100+,2966,13192
