Age,M,F
0-4,348799779,327476177
5-9,340117544,318409672
10-14,326169359,304445511
15-19,313368691,292763154
20-24,307266736,288498579
25-29,309763182,293798399
30-34,300194275,288966961
35-39,265033366,257871147
40-44,246969914,242067650
45-49,237938959,235391714
50-54,214697917,215325749
55-59,181924357,185513094
60-64,151252478,159000253
65-69,119152997,130454485
70-74,79000278,92030944
75-79,52018478,65832600
80-84,32250765,46062262
85-89,15057819,25199067
90-94,5240886,10977791
95-99,1164066,3124857
100+,106013,393185
