Age,M,F
0-4,1359474,1284431
5-9,1383690,1313122
10-14,1427150,1351855
15-19,1514378,1436320
20-24,1716628,1650812
25-29,2073998,2031524
30-34,2307561,2287049
35-39,2333719,2326763
40-44,2110513,2124450
45-49,1864228,1902552
50-54,1889003,1943617
55-59,1677222,1755641
60-64,1591387,1727356
65-69,1480152,1698468
70-74,1203244,1537845
75-79,927656,1398233
80-84,486532,848546
85-89,236069,515013
90-94,105877,277790
95-99,16949,59956
100+,960,4787
