Age,M,F
0-4,332071874,309653935
5-9,317494658,296289105
10-14,311186884,291387052
15-19,314934312,297384523
20-24,306393359,292918541
25-29,271569966,261950409
30-34,254549285,246803352
35-39,247228460,241165478
40-44,226648748,222702410
45-49,197175394,194860656
50-54,171088225,171564452
55-59,143461994,146975645
60-64,105369511,111385710
65-69,81454782,89598525
70-74,63644738,75039113
75-79,41752034,54553668
80-84,23393251,35767250
85-89,9543968,17802553
90-94,2876882,6557878
95-99,659213,1975603
100+,48843,206432
