Age,M,F
0-4,1409143,1331175
5-9,1383134,1310582
10-14,1429431,1353110
15-19,1492226,1411365
20-24,1645613,1570741
25-29,1959659,1904230
30-34,2311034,2276899
35-39,2380537,2372926
40-44,2268234,2275374
45-49,1958630,1987928
50-54,1841464,1896397
55-59,1827840,1904711
60-64,1528833,1651802
65-69,1546312,1753045
70-74,1244698,1553142
75-79,954285,1391044
80-84,599026,1048492
85-89,213061,455647
90-94,111887,296667
95-99,20469,70757
100+,1146,5724
