Age,M,F
0-4,1291314,1214635
5-9,1444144,1363115
10-14,1475537,1387053
15-19,1481385,1372025
20-24,1550543,1443654
25-29,1638425,1576767
30-34,1737437,1713291
35-39,1956539,1952284
40-44,2297097,2314774
45-49,2450301,2498385
50-54,2382855,2468270
55-59,2084547,2207310
60-64,1788149,1932369
65-69,1715913,1888066
70-74,1433545,1647301
75-79,1197104,1507621
80-84,877521,1274262
85-89,459703,854524
90-94,179464,444051
95-99,37244,118426
100+,3032,13711
