Age,M,F
0-4,342357535,320209780
5-9,325239168,303212645
10-14,314268600,293487151
15-19,308899406,289828900
20-24,314149306,298305223
25-29,296105925,284591387
30-34,263704148,255495168
35-39,251209851,244543109
40-44,240613738,236364730
45-49,217015859,214849327
50-54,185515466,185877749
55-59,160511469,164045620
60-64,126626933,133667544
65-69,89963633,98795123
70-74,67304348,78812202
75-79,46599352,59870400
80-84,26636757,39245236
85-89,11915539,21342731
90-94,3545721,7992223
95-99,713586,2055964
100+,66666,272738
