Age,M,F
0-4,334719391,312331327
5-9,319050509,297520807
10-14,311861649,291846867
15-19,312056529,294045286
20-24,311377966,297364886
25-29,277030752,267035131
30-34,255235693,247407608
35-39,249205115,242755183
40-44,230777191,226893249
45-49,202552171,200102471
50-54,173625322,174098778
55-59,149421141,152765404
60-64,110045335,116478973
65-69,82561636,90574244
70-74,65140936,76737721
75-79,42689546,55574655
80-84,24231161,36789623
85-89,9912921,18586342
90-94,2881083,6561467
95-99,660789,1986381
100+,52587,221160
