Age,M,F
0-4,1325381,1246836
5-9,1456870,1374868
10-14,1470346,1378686
15-19,1478314,1364055
20-24,1556954,1455171
25-29,1642311,1590658
30-34,1758069,1737721
35-39,2012241,2011753
40-44,2355717,2377951
45-49,2445331,2498982
50-54,2353951,2444272
55-59,2016099,2140863
60-64,1770157,1911093
65-69,1725176,1895879
70-74,1378145,1593459
75-79,1221501,1544512
80-84,842382,1246399
85-89,446123,852363
90-94,169829,433786
95-99,28282,93364
100+,3076,14142
