Age,M,F
0-4,343851751,321803262
5-9,328006278,305964976
10-14,315453946,294393056
15-19,309327205,290044825
20-24,311716161,295248848
25-29,302826290,290683504
30-34,268508218,260029705
35-39,251110100,244592974
40-44,243120050,238590815
45-49,221429803,219499652
50-54,190688165,190942435
55-59,162642953,166319468
60-64,132890165,139965693
65-69,93642849,103099469
70-74,67844781,79188767
75-79,48038761,61654759
80-84,27322827,39922314
85-89,12482475,22069021
90-94,3799183,8484401
95-99,801041,2216482
100+,72328,292283
