Age,M,F
0-4,345056049,323116474
5-9,330816250,308805462
10-14,316925736,295598792
15-19,310023761,290503273
20-24,309223685,292185615
25-29,308119527,295333401
30-34,273985659,265123534
35-39,251696000,245273455
40-44,245044730,240265691
45-49,225547555,223761585
50-54,195962365,196126895
55-59,165183211,168917805
60-64,138635771,145744904
65-69,97950692,107982016
70-74,69006169,80294124
75-79,49249012,63249046
80-84,28036096,40790947
85-89,12887767,22682297
90-94,3919955,8804755
95-99,813504,2256752
100+,78342,312099
