Age,M,F
0-4,1345840,1272147
5-9,1384192,1314455
10-14,1429288,1354334
15-19,1534036,1457648
20-24,1757965,1697121
25-29,2121306,2086578
30-34,2298862,2281276
35-39,2300688,2293483
40-44,2034894,2054181
45-49,1841106,1881290
50-54,1904396,1957754
55-59,1612292,1692166
60-64,1629326,1770949
65-69,1444202,1670048
70-74,1191186,1540220
75-79,910161,1390858
80-84,430103,755987
85-89,257125,562607
90-94,93255,253612
95-99,13176,49756
100+,888,4389
