Age,M,F
0-4,1442889,1361622
5-9,1449764,1369507
10-14,1428983,1340481
15-19,1476753,1384107
20-24,1557940,1485355
25-29,1661540,1625330
30-34,1877857,1876104
35-39,2239869,2259378
40-44,2424126,2467232
45-49,2379437,2446764
50-54,2104283,2196845
55-59,1817381,1934012
60-64,1789914,1928656
65-69,1537933,1704854
70-74,1374711,1622845
75-79,1141721,1493418
80-84,733270,1169401
85-89,393231,807044
90-94,128280,323926
95-99,25061,83215
100+,2495,11935
