Age,M,F
0-4,321701173,300942774
5-9,311991706,292417742
10-14,322384905,304904557
15-19,296825533,282926927
20-24,266425143,256150416
25-29,257317751,248870540
30-34,245128470,238830020
35-39,221431265,215950856
40-44,192425101,188587806
45-49,172868447,170746926
50-54,137808417,138946749
55-59,106089253,108673444
60-64,91975380,97369178
65-69,73881413,81974537
70-74,54474047,65797657
75-79,33968571,47400691
80-84,17086741,27223172
85-89,7320538,14499930
90-94,2127492,5519903
95-99,341331,1160426
100+,29083,130519
