Age,M,F
0-4,1464816,1383412
5-9,1415122,1339357
10-14,1411870,1333579
15-19,1482267,1398059
20-24,1562036,1493737
25-29,1719542,1688968
30-34,2028010,2026913
35-39,2369720,2383752
40-44,2398314,2436943
45-49,2255139,2308132
50-54,1924334,2002813
55-59,1787419,1893151
60-64,1759815,1885829
65-69,1434304,1605048
70-74,1408784,1679125
75-79,1037686,1413415
80-84,680711,1145391
85-89,349229,734377
90-94,89422,232444
95-99,30359,101454
100+,1838,8985
